"diff","lwr","upr","p adj","comp"
-1.43822797547942,-4.18811854358889,1.31166259263005,0.908870062563241,"'2-1"
-1.69323124403723,-4.44312181214669,1.05665932407224,0.743220304821012,"'5-1"
-1.97546101542509,-4.35693610503511,0.406014074184927,0.239461336651355,"'15-1"
-0.769692143930183,-3.51958271203965,1.98019842417928,0.999805766285159,"'18-1"
-1.4561218005785,-4.20601236868797,1.29376876753096,0.900404233818879,"'20-1"
-2.26254457813999,-5.01243514624946,0.487345989969478,0.251845579192641,"'30-1"
-0.897309600315014,-3.64720016842448,1.85258096779445,0.998884116255797,"'45-1"
-0.442199660956473,-3.19209022906594,2.30769090715299,0.999999821317732,"'49-1"
-2.19027032138281,-4.94016088949227,0.559620246726658,0.303896518965719,"'57-1"
-1.86658751550788,-4.61647808361734,0.883303052601588,0.589066114855419,"'67-1"
-1.02742702892378,-3.77731759703324,1.72246353918569,0.995307313496882,"'350-1"
-0.708043653433275,-3.45793422154274,2.04184691467619,0.999928198135477,"'355-1"
-0.0567646480336019,-2.80665521614307,2.69312592007586,1,"'358-1"
-0.938703181103372,-3.68859374921284,1.81118738700609,0.998177176997938,"'364-1"
-0.255003268557807,-3.00489383666727,2.49488729955166,0.999999999895867,"'5-2"
-0.537233039945674,-2.91870812955569,1.84424204966435,0.999985888478433,"'15-2"
0.668535831549236,-2.08135473656023,3.4184263996587,0.999964323316858,"'18-2"
-0.0178938250990823,-2.76778439320855,2.73199674301038,1,"'20-2"
-0.824316602660569,-3.57420717077004,1.9255739654489,0.999569708978437,"'30-2"
0.540918375164405,-2.20897219294506,3.29080894327387,0.999997519721464,"'45-2"
0.996028314522947,-1.75386225358652,3.74591888263241,0.99658923975296,"'49-2"
-0.752042345903389,-3.50193291401286,1.99784822220608,0.999852279905512,"'57-2"
-0.428359540028459,-3.17825010813793,2.32153102808101,0.999999882760977,"'67-2"
0.410800946555643,-2.33908962155382,3.16069151466511,0.999999932819449,"'350-2"
0.730184322046144,-2.01970624606332,3.48007489015561,0.999896028538458,"'355-2"
1.38146332744582,-1.36842724066365,4.13135389555528,0.932516029766648,"'358-2"
0.499524794376047,-2.25036577373342,3.24941536248551,0.999999114707645,"'364-2"
-0.282229771387867,-2.66370486099789,2.09924531822215,0.999999997026158,"'15-5"
0.923539100107043,-1.82635146800242,3.67342966821651,0.998471156396715,"'18-5"
0.237109443458725,-2.51278112465074,2.98700001156819,0.999999999961728,"'20-5"
-0.569313334102762,-3.31920390221223,2.1805772340067,0.999995226257768,"'30-5"
0.795921643722212,-1.95396892438725,3.54581221183168,0.999712723448724,"'45-5"
1.25103158308075,-1.49885898502871,4.00092215119022,0.969932066830395,"'49-5"
-0.497039077345582,-3.24692964545505,2.25285149076388,0.999999170402946,"'57-5"
-0.173356271470652,-2.92324683958012,2.57653429663881,0.999999999999701,"'67-5"
0.66580421511345,-2.08408635299602,3.41569478322292,0.999966073581668,"'350-5"
0.985187590603951,-1.76470297750551,3.73507815871342,0.9969567651618,"'355-5"
1.63646659600362,-1.11342397210584,4.38635716411309,0.787919924006882,"'358-5"
0.754528062933854,-1.99536250517561,3.50441863104332,0.999846393561225,"'364-5"
1.20576887149491,-1.17570621811511,3.58724396110493,0.928371182163784,"'18-15"
0.519339214846592,-1.86213587476343,2.90081430445661,0.999990777667273,"'20-15"
-0.287083562714895,-2.66855865232491,2.09439152689512,0.999999996251903,"'30-15"
1.07815141511008,-1.30332367449994,3.4596265047201,0.971173322505752,"'45-15"
1.53326135446862,-0.848213735141399,3.91473644407864,0.677039229545542,"'49-15"
-0.214809305957715,-2.59628439556773,2.1666657836523,0.999999999928829,"'57-15"
0.108873499917215,-2.27260158969281,2.49034858952723,1,"'67-15"
0.948033986501317,-1.4334411031087,3.32950907611134,0.991178831169868,"'350-15"
1.26741736199182,-1.1140577276182,3.64889245160184,0.896776013097912,"'355-15"
1.91869636739149,-0.462778722218528,4.30017145700151,0.285052605868598,"'358-15"
1.03675783432172,-1.3447172552883,3.41823292393174,0.979601950473292,"'364-15"
-0.686429656648318,-3.43632022475778,2.06346091146115,0.999950712275092,"'20-18"
-1.49285243420981,-4.24274300231927,1.25703813389966,0.881476131233965,"'30-18"
-0.127617456384831,-2.8775080244943,2.62227311172464,1,"'45-18"
0.327492482973711,-2.42239808513576,3.07738305108318,0.999999996821505,"'49-18"
-1.42057817745262,-4.17046874556209,1.32931239065684,0.916740414761899,"'57-18"
-1.0968953715777,-3.84678593968716,1.65299519653177,0.99100511301879,"'67-18"
-0.257734884993593,-3.00762545310306,2.49215568311587,0.999999999879453,"'350-18"
0.0616484904969083,-2.68824207761256,2.81153905860637,1,"'355-18"
0.712927495896581,-2.03696307221288,3.46281806400605,0.999921987918636,"'358-18"
-0.169011037173189,-2.91890160528266,2.58087953093628,1,"'364-18"
-0.806422777561487,-3.55631334567095,1.94346779054798,0.999665653100167,"'30-20"
0.558812200263487,-2.19107836784598,3.30870276837295,0.999996235631515,"'45-20"
1.01392213962203,-1.73596842848744,3.7638127077315,0.995900894956669,"'49-20"
-0.734148520804307,-3.48403908891377,2.01574204730516,0.999889076423714,"'57-20"
-0.410465714929377,-3.16035628303884,2.33942485318009,0.999999933546721,"'67-20"
0.428694771654725,-2.32119579645474,3.17858533976419,0.999999881537165,"'350-20"
0.748078147145227,-2.00181242096424,3.49796871525469,0.999861254200059,"'355-20"
1.3993571525449,-1.35053341556457,4.14924772065437,0.92558060160442,"'358-20"
0.51741861947513,-2.23247194863434,3.2673091875846,0.999998601765007,"'364-20"
1.36523497782497,-1.38465559028449,4.11512554593444,0.938404595156568,"'45-30"
1.82034491718352,-0.929545650925951,4.57023548529298,0.631906483460459,"'49-30"
0.0722742567571801,-2.67761631135229,2.82216482486665,1,"'57-30"
0.39595706263211,-2.35393350547736,3.14584763074158,0.9999999589067,"'67-30"
1.23511754921621,-1.51477301889325,3.98500811732568,0.973092756388467,"'350-30"
1.55450092470671,-1.19538964340275,4.30439149281618,0.845031776364579,"'355-30"
2.20577993010639,-0.54411063800308,4.95567049821585,0.292239551966399,"'358-30"
1.32384139703662,-1.42604917107285,4.07373196514608,0.951760665398188,"'364-30"
0.455109939358542,-2.29478062875092,3.20500050746801,0.999999738704719,"'49-45"
-1.29296072106779,-4.04285128917726,1.45692984704167,0.960251066225724,"'57-45"
-0.969277915192864,-3.71916848330233,1.7806126529166,0.997435177448837,"'67-45"
-0.130117428608762,-2.88000799671823,2.6197731395007,1,"'350-45"
0.189265946881739,-2.56062462122773,2.93915651499121,0.999999999998455,"'355-45"
0.840544952281413,-1.90934561582805,3.59043552039088,0.999462650432316,"'358-45"
-0.0413935807883576,-2.79128414889782,2.70849698732111,1,"'364-45"
-1.74807066042634,-4.4979612285358,1.00181990768313,0.696758918687052,"'57-49"
-1.42438785455141,-4.17427842266087,1.32550271355806,0.915081687184459,"'67-49"
-0.585227367967304,-3.33511793607677,2.16466320014216,0.999993224331863,"'350-49"
-0.265843992476802,-3.01573456058627,2.48404657563266,0.999999999815574,"'355-49"
0.385435012922871,-2.3644555551866,3.13532558103234,0.999999971352378,"'358-49"
-0.496503520146899,-3.24639408825637,2.25338704796257,0.999999181976034,"'364-49"
0.32368280587493,-2.42620776223454,3.0735733739844,0.999999997288423,"'67-57"
1.16284329245903,-1.58704727565043,3.9127338605685,0.984355433635235,"'350-57"
1.48222666794953,-1.26766390015993,4.232117236059,0.88716676490119,"'355-57"
2.13350567334921,-0.61638489476026,4.88339624145867,0.34868478596493,"'358-57"
1.25156714027944,-1.49832342783003,4.0014577083889,0.969820983543619,"'364-57"
0.839160486584102,-1.91073008152536,3.58905105469357,0.999472613618501,"'350-67"
1.1585438620746,-1.59134670603486,3.90843443018407,0.984883078523216,"'355-67"
1.80982286747428,-0.94006770063519,4.55971343558374,0.64154022132451,"'358-67"
0.927884334404506,-1.82200623370496,3.67777490251397,0.998391406255996,"'364-67"
0.319383375490502,-2.43050719261896,3.06927394359997,0.999999997738952,"'355-350"
0.970662380890175,-1.77922818721929,3.72055294899964,0.99739625609302,"'358-350"
0.0887238478204044,-2.66116672028906,2.83861441592987,1,"'364-350"
0.651279005399673,-2.09861156270979,3.40116957350914,0.999974151251902,"'358-355"
-0.230659527670097,-2.98055009577956,2.51923104043937,0.999999999973968,"'364-355"
-0.88193853306977,-3.63182910117924,1.8679520350397,0.999078157876716,"'364-358"
